video_id,user_id,username,hashtag
7478458078078323974,6796057969681449989,_juanis_vv_,petro
7478458078078323974,6796057969681449989,_juanis_vv_,apoyo
7363810757777100037,7047184557032440838,delaespriella_style,abelardodelaespriella
7363810757777100037,7047184557032440838,delaespriella_style,delaespriellastyle
7363810757777100037,7047184557032440838,delaespriella_style,abdelaespriella
7363810757777100037,7047184557032440838,delaespriella_style,hijos
7363810757777100037,7047184557032440838,delaespriella_style,crianza
7363810757777100037,7047184557032440838,delaespriella_style,mamerto
7503330606902676791,7408553902872888326,_libertad_y_orden,política
7503330606902676791,7408553902872888326,_libertad_y_orden,colombia
7616833819429080337,6877339182504084482,revistasemana,noticias
7616833819429080337,6877339182504084482,revistasemana,noticiastiktok
7616833819429080337,6877339182504084482,revistasemana,colombia
7644907124077710623,7283109080691295275,karl42881,gobiernocolombiano
7644907124077710623,7283109080691295275,karl42881,colombia
7644907124077710623,7283109080691295275,karl42881,colombianosenelexterior
7644907124077710623,7283109080691295275,karl42881,elecciones2026colombia
7644907124077710623,7283109080691295275,karl42881,mamertos
7644745593872452871,7202382465314112517,val_olartee,abelardodelaespriella
7644745593872452871,7202382465314112517,val_olartee,uribe
7644745593872452871,7202382465314112517,val_olartee,politica
7644745593872452871,7202382465314112517,val_olartee,firmesporlapatria
7652917873823730952,7428290614691857413,viralizate.co,porsiempreyeison
7652917873823730952,7428290614691857413,viralizate.co,abelardodelaespriella
7652917873823730952,7428290614691857413,viralizate.co,abelardopresidente
7652917873823730952,7428290614691857413,viralizate.co,firmeporlapatria
7652917873823730952,7428290614691857413,viralizate.co,conabelardocolombiagana
7652912491541974280,7428290614691857413,viralizate.co,abelardodelaespriella
7652912491541974280,7428290614691857413,viralizate.co,abelardopresidente
7652912491541974280,7428290614691857413,viralizate.co,firmeporlapatria
7652912491541974280,7428290614691857413,viralizate.co,conabelardocolombiagana
7651676950075034898,6848707156634338309,johnromerofotografia,firmesporlapatria
7651676950075034898,6848707156634338309,johnromerofotografia,fajardo
7651676950075034898,6848707156634338309,johnromerofotografia,petrismo
7651676950075034898,6848707156634338309,johnromerofotografia,cepeda
7651676950075034898,6848707156634338309,johnromerofotografia,colombia
7652433604416523540,7249786780672197638,hernan.cervantes7,abelardodelaespriella
7652433604416523540,7249786780672197638,hernan.cervantes7,colombia
7652433604416523540,7249786780672197638,hernan.cervantes7,firmeporlapatria
7652433604416523540,7249786780672197638,hernan.cervantes7,presidente2026
7652433604416523540,7249786780672197638,hernan.cervantes7,elecciones2026colombia
7643528717192531208,7030857513901966341,catazvv,parati
7643528717192531208,7030857513901966341,catazvv,derecha
7643528717192531208,7030857513901966341,catazvv,firmesporlapatria
